ClinicID,State,Name,Street.Address,City,Latitude,Longitude,Full_Address,County,FIPS,County_RUC,County_Population,County_Land
C12,Alabama,Mobile Metro Treatment Center P.C.,1924 Dauphin Island Parkway,Mobile,30.62938153,-88.08882719,"1924, Dauphin Island Parkway, Forest Park, Mobile, Mobile County, Alabama, 36605, United States of America",mobile,1097,2,414328,1229.408
C13,Alabama,Escape from Chemical Dependence,808 Downtowner Loop W.,Mobile,30.67229455,-88.14453376,"808, Downtowner Loop West, Country Club Estates, Mobile, Mobile County, Alabama, 36609, United States of America",mobile,1097,2,414328,1229.408
C14,Alabama,Metro Treatment Center of Alabama,6001 East Shirley Lane,Montgomery,32.36797017,-86.2048722,"6001, East Shirley Lane, Carol Villa, Montgomery, Montgomery County, Alabama, 36117, United States of America",montgomery,1101,2,227120,785.341
C15,Alabama,MedMark Treatment Centers Dothan,9283 W. U.S. 84,Newton,31.238965,-85.541269,,houston,1069,3,104108,579.854
C16,Alabama,MedMark Treatment Centers Oxford,118 East Choccolocco St.,Oxford,33.61501618,-85.83390782,"118, Choccolocco Street, Lakeview, Jo Dell, Oxford, Calhoun County, Alabama, 36203, United States of America",calhoun,1015,3,115527,605.869
C17,Alabama,Shelby County Treatment Center (SCTC),750 Highway 31 South,Saginaw-Alabaster,33.213107,-86.787837,,shelby,1117,1,208721,785.385
C18,Alabama,"The Treatment Centers, Inc.",3430 North Jackson Hwy.,Sheffield,34.76619551,-87.67658655,"3430, North Jackson Highway, Easton, Sheffield, Colbert County, Alabama, 35660, United States of America",colbert,1033,3,54435,592.744
C19,Alabama,"Comprehensive Management Group, LLC",196 County Road 85,Stevenson,34.87276461,-85.80957702,"196, County Road 85, New Town, Stevenson, Jackson County, Alabama, 35772, United States of America",jackson,1071,6,52326,1077.988
C24,Arizona,Community Bridges Inc,824 North 99th Avenue,Avondale,33.464811,-112.2727098,"North 99th Avenue, Avondale, Maricopa County, Arizona, 85037, United States of America",maricopa,4013,1,4155501,9200.674
C25,Arizona,Bullhead City ORS,809 Hancock Rd.,Bullhead City,35.10783498,-114.6202109,"809, Hancock Road, Riviera, Bullhead City, Mohave County, Arizona, 86442, United States of America",mohave,4015,3,204691,13331.86
C26,Arizona,Community Medical Services,440 North Camino Mercado,Casa Grande,32.87815181,-111.6924896,"440, North Camino Mercado, Mission Royale, Casa Grande, Pinal County, Arizona, 85122, United States of America",pinal,4021,1,405537,5366.046
C27,Arizona,"BAART Behavioral Health Services, Inc.",908B West Chandler Blvd.,Chandler,33.3054044,-111.9477439,"West Chandler Boulevard, West Chandler, Chandler, Maricopa County, Arizona, 85226, United States of America",maricopa,4013,1,4155501,9200.674
C28,Arizona,Flagstaff ORS,1515 E. Cedar Avenue,Flagstaff,35.2174612,-111.6201352,"1515, East Cedar Avenue, Shadow Mountain, East Flagstaff, Flagstaff, Coconino County, Arizona, 86004, United States of America",coconino,4005,3,138639,18616.784
C29,Arizona,Thunderbird Treatment Center,13820 North 51st Ave.,Glendale,33.5542467,-112.1689545,"North 51st Avenue, Roles Inn of America, Glendale, Maricopa County, Arizona, 85302, United States of America",maricopa,4013,1,4155501,9200.674
C30,Arizona,Community Medical Services,5002 West Glendale Avenue,Glendale,33.5382982,-112.2011766,"West Glendale Avenue, Glendale, Maricopa County, Arizona, 85303, United States of America",maricopa,4013,1,4155501,9200.674
C31,Arizona,Sunlight Medical Service PLLC,5750 West Thunderbird Road,Glendale,33.6102903,-112.2184562,"West Thunderbird Road, Crosswinds, Peoria, Maricopa County, Arizona, 85381, United States of America",maricopa,4013,1,4155501,9200.674
C32,Arizona,Community Medical Services,329 Lake Havasu Avenue South,Lake Havasu City,34.4673,-114.3369,,mohave,4015,3,204691,13331.86
C33,Arizona,"New Hope Behavioral Health Center, Inc.",215 South Power Road,Mesa,33.4116144,-111.6815172,"Healthy Kidz Pediatrics, 215, South Power Road, Mesa, Maricopa County, Arizona, 85206, United States of America",maricopa,4013,1,4155501,9200.674
C34,Arizona,Community Medical Services-Mesa,6116 East Arbor Ave,Mesa,33.4122673,-111.6963541,"6116, East Arbor Avenue, New Hope Trailer Park, Mesa, Maricopa County, Arizona, 85206, United States of America",maricopa,4013,1,4155501,9200.674
C35,Arizona,Community Medical Services,1012 South Stapley Drive,Mesa,33.3885436,-111.8056057,"South Stapley Drive, Freeway Village Shopping Center, Mesa, Maricopa County, Arizona, 85204, United States of America",maricopa,4013,1,4155501,9200.674
C36,Arizona,Valle de Sol,334 West 10th Place,Mesa,33.43449425,-111.8390039,"LIUNA Local 383, 334, West 10th Place, Town & Country Apartments, Mesa, Maricopa County, Arizona, 85201, United States of America",maricopa,4013,1,4155501,9200.674
C37,Arizona,Community Bridges Inc,560 South Bellview Street,Mesa,33.4044,-111.8159,,maricopa,4013,1,4155501,9200.674
C38,Arizona,Community Bridges Inc,803 West Main Street,Payson,34.2316,-111.3407,,gila,4007,4,53145,4757.995
C39,Arizona,"Southwest Behavioral Health Services, Inc.",1424 South 7th Ave.,Phoenix,33.43446754,-112.0826009,"1424, South 7th Avenue, Central City, Phoenix, Maricopa County, Arizona, 85007, United States of America",maricopa,4013,1,4155501,9200.674
C40,Arizona,Valle del Sol,1209 S. 1st. Ave.,Phoenix,33.436241,-112.074992,"1209, South 1st Avenue, Central City, Phoenix, Maricopa County, Arizona, 85003, United States of America",maricopa,4013,1,4155501,9200.674
C41,Arizona,"Center for Behavioral Health Phoenix, Inc.",1501 East Washington St.,Phoenix,33.44807405,-112.0497288,"1501, East Washington Street, Central City, Phoenix, Maricopa County, Arizona, 85006-4460, United States of America",maricopa,4013,1,4155501,9200.674
C42,Arizona,"Addiction Resources, Inc.",4337 West Indian School Rd.,Phoenix,33.4950184,-112.1176406,"West Indian School Road, Alhambra, Phoenix, Maricopa County, Arizona, 85015, United States of America",maricopa,4013,1,4155501,9200.674
C43,Arizona,"Intensive Treatment Systems, LLC  West","4136, N 75th Ave., Ste 116",Phoenix,33.49519612,-112.2206691,"4136, North 75th Avenue, Willows West, Maryvale, Phoenix, Maricopa County, Arizona, 85033, United States of America",maricopa,4013,1,4155501,9200.674
C44,Arizona,Alpha Medical Services,3825 N. 24th street,Phoenix,33.5248491,-112.0299159,"North 24th Street, Taliverde, Camelback East, Phoenix, Maricopa County, Arizona, 85016-1538, United States of America",maricopa,4013,1,4155501,9200.674
C45,Arizona,"Intensive Treatment Systems, LLC  North","19401 N. Cave Creek Rd., Ste 18",Phoenix,33.5710749,-112.0608569,"North Cave Creek Road, Wabash Trailer Court, North Mountain, Phoenix, Maricopa County, Arizona, 85020, United States of America",maricopa,4013,1,4155501,9200.674
C46,Arizona,Recovery Rx L.L.C.,4350 North 19th Ave,Phoenix,33.6990639,-112.0999546,"North 19th Avenue, Deer Valley, Phoenix, Maricopa County, Arizona, 85027, United States of America",maricopa,4013,1,4155501,9200.674
C47,Arizona,Community Bridges Inc,2770 East Van Buren Street,Phoenix,33.4510016,-111.9681002,"East Van Buren Street, Minnesota Court, Phoenix, Maricopa County, Arizona, 85257-1102, United States of America",maricopa,4013,1,4155501,9200.674
C48,Arizona,Connections Access LLC,3333 North 7th Avenue,Phoenix,33.4867434,-112.0827979,"3333, North 7th Avenue, Encanto, Phoenix, Maricopa County, Arizona, 85013, United States of America",maricopa,4013,1,4155501,9200.674
C49,Arizona,Community Medical Services,4527 North 27th Avenue,Phoenix,33.50243618,-112.1169215,"4527, North 27th Avenue, Alhambra, Phoenix, Maricopa County, Arizona, 85017, United States of America",maricopa,4013,1,4155501,9200.674
C50,Arizona,Intensive Treatment Systems LLC,651 West Coolidge Street,Phoenix,33.50471247,-112.0818218,"651, West Coolidge Street, Encanto, Phoenix, Maricopa County, Arizona, 85013, United States of America",maricopa,4013,1,4155501,9200.674
C51,Arizona,Community Medical Services,7830 North 23rd Avenue,Phoenix,33.55099478,-112.1084053,"7830, North 23rd Avenue, Alhambra, Phoenix, Maricopa County, Arizona, 85021, United States of America",maricopa,4013,1,4155501,9200.674
C52,Arizona,Bell Treatment Center,1614 West Bell Road,Phoenix,33.64082495,-112.0940592,"1614, West Bell Road, Turf Trailer Lodge, North Mountain, Phoenix, Maricopa County, Arizona, 85023, United States of America",maricopa,4013,1,4155501,9200.674
C53,Arizona,Prescott Valley ORS,7600 E. Florentine,Prescott Vallley,34.58868,-112.33267,,yavapai,4025,3,220972,8123.1
C54,Arizona,Community Medical Services,102 East Main Street,Safford,32.83335614,-109.7075387,"102, East Main Street, Safford, Graham County, Arizona, 85546, United States of America",graham,4009,7,37700,4621.876
C55,Arizona,SMC Recovery LLC,10207 N. Scottsdale Road,Scottsdale,33.57869105,-111.9253136,"10207, North Scottsdale Road, Gainey Ranch, Scottsdale, Maricopa County, Arizona, 85253, United States of America",maricopa,4013,1,4155501,9200.674
C56,Arizona,"Mission Treatment Centers, Inc.",617 North Scottsdale Road,Scottsdale,33.5891927,-111.9259056,"North Scottsdale Road, Buenavante, Scottsdale, Maricopa County, Arizona, 85260-8516, United States of America",maricopa,4013,1,4155501,9200.674
C57,Arizona,Community Medical Services,302 El Camino Real,Sierra Vista,31.55110629,-110.2724918,"302, El Camino Real, Village Meadows, Sierra Vista, Cochise County, Arizona, 85635, United States of America",cochise,4003,3,126516,6209.749
C58,Arizona,"Center For Behavioral Health, Inc., Tempe",2123 E. Southern Avenue,Tempe,33.39290981,-111.8952014,"2123, East Southern Avenue, McClintock Manor, Tempe, Maricopa County, Arizona, 85282, United States of America",maricopa,4013,1,4155501,9200.674
C59,Arizona,Pascua Yaqui Tribe-Health Department,7490 South Camino De Oeste,Tucson,32.115254,-111.063262,"7490, South Camino de Oeste, Drexel Heights, Pima County, Arizona, 85746, United States of America",pima,4019,2,1007257,9188.696
C60,Arizona,La Frontera  Hope Center,260 South Scott Ave.,Tucson,32.2182789,-110.9698123,"260, South Scott Avenue, Armory Park, Tucson, Pima County, Arizona, 85701, United States of America",pima,4019,2,1007257,9188.696
C61,Arizona,"Behavioral Awareness Center, Inc.",2002 WEST ANKLAM RD,Tucson,32.22506624,-111.0090387,"2002, West Anklam Road, Menlo Park, Tucson, Pima County, Arizona, 85745, United States of America",pima,4019,2,1007257,9188.696
C62,Arizona,"New Hope Behavioral Health Center, Inc.",2001 West Orange Grove Rd.,Tucson,32.323055,-111.00857,"2001, West Orange Grove Road, Flowing Wells, Casas Adobes, Pima County, Arizona, 85704, United States of America",pima,4019,2,1007257,9188.696
C63,Arizona,Community Medical Services,6802 East Broadway Boulevard,Tucson,32.2206913,-110.8471502,"Focus HR Inc., 6802, East Broadway Boulevard, Palo Verde Park, Tucson, Pima County, Arizona, 85710, United States of America",pima,4019,2,1007257,9188.696
C64,Arizona,Center for Behavioral Health,2437 North Stone Avenue,Tucson,32.2270166,-110.9717024,"North Stone Avenue, Warehouse District, Pascua Yaqui Indian Village, Tucson, Pima County, Arizona, 85701, United States of America",pima,4019,2,1007257,9188.696
C65,Arizona,COPE Community Services Inc,5401 East 5th Street,Tucson,32.2288237,-110.9219526,"East 5th Street, Miramonte, Tucson, Pima County, Arizona, 85716-5400, United States of America",pima,4019,2,1007257,9188.696
C66,Arizona,Connections Access LLC,1135 North Jones Boulevard,Tucson,32.237127,-110.920462,"1135, North Jones Boulevard, Palo Verde, Tucson, Pima County, Arizona, 85716, United States of America",pima,4019,2,1007257,9188.696
C67,Arizona,ETANO Center,3956 East Pima Street,Tucson,32.24337257,-110.9085031,"3956, East Pima Street, Palo Verde, Tucson, Pima County, Arizona, 85712, United States of America",pima,4019,2,1007257,9188.696
C68,Arizona,CODAC Health Recovery and Wellness,380 East Fort Lowell Road,Tucson,32.26469684,-110.9660881,"380, East Fort Lowell Road, Coronado Heights, Tucson, Pima County, Arizona, 85705, United States of America",pima,4019,2,1007257,9188.696
C69,Arizona,COPE Community Services Inc,5840 North La Cholla Boulevard,Tucson,32.31287005,-111.0120327,"5840, North la Cholla Boulevard, Flowing Wells, Pima County, Arizona, 85741, United States of America",pima,4019,2,1007257,9188.696
C70,Arizona,Community Bridges Inc,3250 East 40th Street,Yuma,32.65520711,-114.5779442,"3250, East 40th Street, Yuma, Yuma County, Arizona, 85365, United States of America",yuma,4027,3,204281,5513.84
C71,Arkansas,Central Arkansas Treatment Services,5407 Highway Five North,Bryant,34.6242,-92.5015,,saline,5125,2,116252,723.576
C72,Arkansas,"Northeast Arkansas Treatment Services, LLC",912 Osler St,Jonesboro,35.833995,-90.6929,,craighead,5031,3,104246,707.303
C73,Arkansas,University of Arkansas for Medical Sciences Substance Abuse Treatment Clinic,4301 West Markham St.,Little Rock,34.74824675,-92.31988846,"University of Arkansas Medical Sciences Medical Center, 4301, West Markham Street, Pulaski Heights, Little Rock, Pulaski County, Arkansas, 72205, United States of America",pulaski,5119,2,392848,758.438
C74,Arkansas,CATAR Clinic,4260 Stockton Drive,North Little Rock,34.78569544,-92.21925779,"4260, Stockton Drive, Fairman, North Little Rock, Pulaski County, Arkansas, 72117, United States of America",pulaski,5119,2,392848,758.438
C75,Arkansas,Springdale Treatment Center,1353 East Henri De Tonti Blvd.,Springdale,36.175596,-94.211039,,washington,5143,2,223683,941.977
C76,Arkansas,"Arkansas Treatment Services, PA",408 Hazel Street,Texarkana,33.425386,-94.039796,"408, Hazel Street, South Texarkana, Texarkana, Miller County, Arkansas, 71854, United States of America",miller,5091,3,43760,625.73
C77,California,BAART Behavioral Health Services,3707 Sunset Lane,Antioch,37.98499951,-121.804178,"3707, Sunset Lane, Newlove, Antioch, Contra Costa County, California, 94509, United States of America",contra costa,6013,1,1123678,717.078
C78,California,"Aegis Treatment Centers, LLC",6500 Morro Rd.,Atascadero,35.48391,-120.665894,,san luis obispo,6079,2,280119,3300.621
C79,California,Tavarua Medical Rehab Services,474 S Citrus Ave,Azusa,34.11433524,-117.890105,"474, South Citrus Avenue, Azusa, Los Angeles County, California, 91702, United States of America",los angeles,6037,1,10105722,4058.681
C80,California,Bakersfield Medical and Mental Services,1010 1/2 South Union Ave.,Bakersfield,35.305879,-119.0031421,"South Union Avenue, Wible Orchard, Bakersfield, Kern County, California, 93304, United States of America",kern,6029,2,878744,8132.29
C81,California,"Aegis Treatment Centers, LLC",1018 21st Street,Bakersfield,35.3780946,-119.0090691,"21st Street, Civic Center, Kern, Bakersfield, Kern County, California, 93301, United States of America",kern,6029,2,878744,8132.29
C82,California,"Aegis Treatment Centers, LLC",501 W. Columbus Street,Bakersfield,35.397263,-119.00694,"501, West Columbus Street, Kern, Bakersfield, Kern County, California, 93301, United States of America",kern,6029,2,878744,8132.29
C83,California,Berkeley Addiction Treatment Services,2975 Sacramento St.,Berkeley,37.85297645,-122.2787826,"2975, Sacramento Street, Harmon Tract, Berkeley, Alameda County, California, 94702, United States of America",alameda,6001,1,1629615,737.311
C84,California,Imperial Valley Medical Clinic,535 West Cesar Chavez Blvd.,Calexico,32.6723,-115.50387,,imperial,6025,3,179957,4175.536
C85,California,Bi-Valley Medical Clinic and BAART Behavioral Health Services,6127 Fair Oaks Blvd.,Carmichael,38.61225351,-121.3288524,"6127, Fair Oaks Boulevard, Carmichael, Sacramento County, California, 95608, United States of America",sacramento,6067,1,1495400,965.247
C86,California,ALT Recovery Group,20946 Devonshire Street,Chatsworth,34.25716006,-118.5896007,"20946, Devonshire Street, Chatsworth, Los Angeles, Los Angeles County, California, 91311, United States of America",los angeles,6037,1,10105722,4058.681
C87,California,"Aegis Treatment Centers, LLC",588 & 590 Rio Lindo Ave.,Chico,39.75503121,-121.8486604,"588, Rio Lindo Avenue, Barber, Chico, Butte County, California, 95926, United States of America",butte,6007,3,225207,1636.487
C88,California,San Diego Treatment Service,1161 Third Ave.,Chula Vista,32.611717,-117.067822,"1161, 3rd Avenue, Harbor Side, Castle Park, Chula Vista, San Diego County, California, 91911, United States of America",san diego,6073,1,3283665,4210.222
C89,California,"WCHS, Inc.  Colton Clinical Services",2275 East Cooley Dr.,Colton,34.05890537,-117.2938018,"2275, East Cooley Drive, East Colton Heights, Colton, San Bernardino County, California, 92324, United States of America",san bernardino,6071,1,2121220,20067.882
C90,California,Western Pacific Re Hab,275 Victoria Street,Costa Mesa,33.65203275,-117.9107298,"275, Victoria Street, Thurin, Costa Mesa, Orange County, California, 92627, United States of America",orange,6059,1,3155816,792.808
C91,California,"Aegis Treatment Centers, LLC",1019 Jefferson Street,Delano,35.76958537,-119.2444833,"1019, Jefferson Street, Delano, Kern County, California, 93215, United States of America",kern,6029,2,878744,8132.29
C92,California,San Diego Health Alliance,234 North Magnolia Ave.,El Cajon,32.796978,-116.962882,"234, North Magnolia Avenue, Cajon Heights, El Cajon, San Diego County, California, 92020, United States of America",san diego,6073,1,3283665,4210.222
C93,California,Medical Treatment Center,200 S. 5th St.,El Centro,32.79089,-115.554821,"200, South 5th Street, El Centro, Imperial County, California, 92243, United States of America",imperial,6025,3,179957,4175.536
C94,California,"Aegis Treatment Centers, LLC",11041 East Valley Blvd.,El Monte,34.0739401,-118.1646586,"East Valley Boulevard, El Sereno, Los Angeles, Los Angeles County, California, 90032, United States of America",los angeles,6037,1,10105722,4058.681
C95,California,"Mission Treatment Services, Inc.",161 North Date Street,Escondido,33.126475,-117.070535,"161, North Date Street, Mission Park, Escondido, San Diego County, California, 92025, United States of America",san diego,6073,1,3283665,4210.222
C96,California,"MedMark Treatment Centers  Fairfield, Inc.",1143 Missouri Street,Fairfield,38.24805314,-122.047819,"1143, Missouri Street, Clima, Fairfield, Solano County, California, 94533, United States of America",solano,6095,2,434981,821.814
C97,California,Addiction Research & Treatment,3103 East Cartwright Ave.,Fresno,36.67616588,-119.7351385,"3103, East Cartwright Avenue, Malaga, Fresno County, California, 93725, United States of America",fresno,6019,2,971616,5958.379
C98,California,BAART Behavioral Health Services,1235 E St.,Fresno,36.73208534,-119.7986694,"1235, E Street, Fresno, Fresno County, California, 93706, United States of America",fresno,6019,2,971616,5958.379
C99,California,MedMark Treatment Centers Fresno,1310 M Street,Fresno,36.7393093,-119.790465,"1310, M Street, Fresno, Fresno County, California, 93721, United States of America",fresno,6019,2,971616,5958.379
C100,California,BAART Behavioral Health Services,539 North Van Ness Ave.,Fresno,36.7508362,-119.7989917,"539, North Van Ness Avenue, Fresno, Fresno County, California, 93728, United States of America",fresno,6019,2,971616,5958.379
C101,California,"Aegis Treatment Centers, LLC",3707 East Shields Ave.,Fresno,36.77965797,-119.7631962,"3707, East Shields Avenue, Fresno, Fresno County, California, 93726, United States of America",fresno,6019,2,971616,5958.379
C102,California,Western Pacific Rehabilitation (Fullerton),218 East Commonwealth Ave.,Fullerton,33.870442,-117.921487,"218, East Commonwealth Avenue, Downtown Fullerton, Fullerton, Orange County, California, 92832, United States of America",orange,6059,1,3155816,792.808
C103,California,Western Pacific Rehabilitation (Glendale),4544 San Fernando Road,Glendale,34.134571,-118.262931,"4544, San Fernando Road, Glendale, Los Angeles County, California, 91204, United States of America",los angeles,6037,1,10105722,4058.681
C104,California,"Aegis Treatment Centers, LLC",109 Margaret Lane,Grass Valley,39.229742,-121.046792,"109, Margaret Lane, Spring Hill, Grass Valley, Nevada County, California, 95945, United States of America",nevada,6057,4,98838,957.76
C105,California,Western Health Harbor City Clinic,1647 West Anaheim St.,Harbor City,33.7819642,-118.2972981,"West Anaheim Street, Harbor City, Los Angeles, Los Angeles County, California, 90710-2805, United States of America",los angeles,6037,1,10105722,4058.681
C106,California,Hawaiian Gardens Medical and Mental Health Services,21505 Norwalk Blvd.,Hawaiin Gardens,33.8342,-118.0722,,los angeles,6037,1,10105722,4058.681
C107,California,Humanistic Alternatives to Addiction Research & Treatment (HAART)  Hayward,20094 Mission Blvd.,Hayward,37.6390704,-122.0573857,"Mission Boulevard, Sorenson, Hayward, Alameda County, California, 94544, United States of America",alameda,6001,1,1629615,737.311
C108,California,MedMark Treatment Centers Hayward,795 Fletcher Lane,Hayward,37.66566748,-122.0803238,"795, Fletcher Lane, Sorenson, Hayward, Alameda County, California, 94544, United States of America",alameda,6001,1,1629615,737.311
C109,California,Evexia Health Services,601 East Florida Avenue,Hemet,33.7475,-116.966,,riverside,6065,1,2355002,7208.981
C110,California,"Aegis Treatment Centers, LLC",11776 Mariposa Road,Hesperia,34.46450137,-117.3493459,"11776, Mariposa Road, Victorville, San Bernardino County, California, 92345, United States of America",san bernardino,6071,1,2121220,20067.882
C111,California,Inglewood Mental Health Services,4450 West Century Blvd.,Inglewood,33.9454214,-118.3661573,"West Century Boulevard, Inglewood, Los Angeles County, California, 90304, United States of America",los angeles,6037,1,10105722,4058.681
C112,California,"Aegis Treatment Centers, LLC","614 West Manchester Blvd., #104",Inglewood,33.9599461,-118.3181563,"West Manchester Boulevard, Morningside Park, Inglewood, Los Angeles County, California, 90305, United States of America",los angeles,6037,1,10105722,4058.681
C113,California,"Aegis Treatment Centers, LLC",14240 E. Imperial Hwy.,La Mirada,33.9172078,-117.9965815,"East Imperial Highway, La Mirada, Los Angeles County, California, 90639, United States of America",los angeles,6037,1,10105722,4058.681
C114,California,BAART Behavioral Health Services,15229 East Amar Rd.,La Puente,34.0382,-117.95245,,los angeles,6037,1,10105722,4058.681
C115,California,Western Pacific Antelope Valley Medical,45335 North Sierra Hwy.,Lancaster,34.70685,-118.1386,,los angeles,6037,1,10105722,4058.681
C116,California,Lawndale Medical and Mental Health Services,4023 Marine Ave.,Lawndale,33.89473458,-118.3446857,"4023, Marine Avenue, Lawndale, Los Angeles County, California, 90260, United States of America",los angeles,6037,1,10105722,4058.681
C117,California,"Aegis Treatment Centers, LLC",441 South Ham Lane,Lodi,38.12867758,-121.2884294,"441, South Ham Lane, Lodi, San Joaquin County, California, 95242, United States of America",san joaquin,6077,2,724153,1392.336
C118,California,West County Medical Corporation,2272 Pacific Avenue,Long Beach,33.8118465,-118.1937137,"Pacific Avenue, Willowville, Long Beach, Los Angeles County, California, 90807, United States of America",los angeles,6037,1,10105722,4058.681
C119,California,West County Medical Clinic,100 East Market St.,Long Beach,33.8543606,-118.1787502,"Market Street, North Long Beach, Long Beach, Los Angeles County, California, 90805, United States of America",los angeles,6037,1,10105722,4058.681
C120,California,Tri-City Institute South,11900 Avalon Blvd.,Los Angeles,33.8159963,-118.2638926,"Avalon Boulevard, Avalon Village, Carson, Los Angeles County, California, 90745, United States of America",los angeles,6037,1,10105722,4058.681
C121,California,Addiction Research and Treatment  Southeast Clinic,4920 South Avalon Blvd.,Los Angeles,33.9168078,-118.2652435,"South Avalon Boulevard, Willowbrook, Los Angeles County, California, 90061, United States of America",los angeles,6037,1,10105722,4058.681
C122,California,BAART Behavioral Health Services,1926 West Beverly Blvd.,Los Angeles,34.01990609,-118.1195413,"1926, West Beverly Boulevard, Montebello, Los Angeles County, California, 90640, United States of America",los angeles,6037,1,10105722,4058.681
C123,California,Matrix Institute on Addictions,5220 West Washington Blvd.,Los Angeles,34.0315877,-118.2656471,"West Washington Boulevard, Downtown, Los Angeles, Los Angeles County, California, 90015-3018, United States of America",los angeles,6037,1,10105722,4058.681
C124,California,Hollywood Medical and Mental Health Services,5015 W. Pico Blvd.,Los Angeles,34.0486647,-118.3381074,"West Pico Boulevard, Mid-Wilshire, Los Angeles, Los Angeles County, California, 90019, United States of America",los angeles,6037,1,10105722,4058.681
C125,California,Los Angeles Ambulatory Care Clinic (LAACC) VA Opioid Treatment Program,351 East Temple St.,Los Angeles,34.05167787,-118.2389089,"351, East Temple Street, Little Tokyo, Los Angeles, Los Angeles County, California, 90012, United States of America",los angeles,6037,1,10105722,4058.681
C126,California,West Los Angeles Opiod Treatment Service,11301 Wilshire Blvd.,Los Angeles,34.05270005,-118.4526385,"VA Greater Los Angeles Healthcare System, 11301, Wilshire Boulevard, Veterans Administration, Los Angeles County, California, 90073, United States of America",los angeles,6037,1,10105722,4058.681
C127,California,Community Health Care Clinic/ Narcotics Prevention Association Project,942 South Atlantic Blvd.,Los Angeles,34.08217159,-118.1344217,"942, South Atlantic Boulevard, Alhambra, Los Angeles County, California, 91803, United States of America",los angeles,6037,1,10105722,4058.681
C128,California,Hollywood Medical Rehab Care Inc,5232 West Sunset Boulevard,Los Angeles,34.0980489,-118.3187034,"West Sunset Boulevard, Hollywood, Los Angeles, Los Angeles County, California, 90028-5420, United States of America",los angeles,6037,1,10105722,4058.681
C129,California,BAART Behavioral Health Services/ART,11315 South Atlantic Blvd.,Lynwood,33.923,-118.18695,,los angeles,6037,1,10105722,4058.681
C130,California,Healthy Connections,955 West Center St.,Manteca,37.7996,-121.23,,san joaquin,6077,2,724153,1392.336
C131,California,"Addiction Treatment Services, Inc.",1496 N. Beale Rd.,Marysville,39.12685,-121.56142,,yuba,6115,3,74644,632.016
C132,California,"Aegis Treatment Centers, LLC",201 D Street,Marysville,39.137151,-121.588436,"201, D Street, Marysville, Yuba County, California, 95901, United States of America",yuba,6115,3,74644,632.016
C133,California,"Aegis Treatment Centers, LLC",1343 W. Main Street,Merced,37.30613914,-120.4959403,"1343, West Main Street, Merced, Merced County, California, 95340, United States of America",merced,6047,2,267390,1936.111
C134,California,Genesis Narcotic Treatment Program,800 Scenic Drive,Modesto,37.64711596,-120.9834089,"800, Scenic Drive, Aurora, Modesto, Stanislaus County, California, 95350, United States of America",stanislaus,6099,2,535684,1496.017
C135,California,"Aegis Treatment Centers, LLC",1235 McHenry Avenue,Modesto,37.660776,-120.993984,"1235, McHenry Avenue, Aurora, Modesto, Stanislaus County, California, 95350, United States of America",stanislaus,6099,2,535684,1496.017
